Time (s),FrameTime (ms)
1.18345,14.25
2.0064,8.769
3.00173,8.471
4.00425,8.029
5.00195,8.605
6.00301,8.108
7.00647,8.227
8.00775,8.248
9.00213,7.998
10.0045,7.326
11.0052,7.252
12.0062,8.436
13.0083,8.459
14.0013,7.861
15.0014,7.941
16.0038,7.921
17.0056,8.128
18.0069,8.914
19.0011,8.015
20.0021,7.69
21.0038,8.621
22.0047,8.893
23.0065,8.429
24.007,9.03
25.0076,9.419
26.0009,8.313
27.0035,8.315
28.0057,7.625
29.0063,9.834
30.0005,7.941
31.0018,7.564
32.0031,8.374
33.0045,8.401
34.0059,7.975
35.0054,8.182
36.0063,8.666
37.0014,7.586
38.0031,8.122
39.005,7.935
40.0051,8.266
41.0069,8.207
42.0006,7.75
43.0026,7.977
44.0041,7.925
45.0046,7.509
46.0056,7.731
47.0068,8.847
48.0017,7.989
49.0028,8.44
50.0038,8.886
51.0049,8.973
52.0058,9.423
53.0005,7.825
54.0026,7.779
55.0027,7.576
56.0038,8.477
57.0066,7.64
58.008,8.171
59.0011,7.473
60.0019,8.855
