Time (s),FrameTime (ms)
1.28889,18.292
2.00245,8.461
3.00432,8.364
4.00654,8.224
5.00791,8.416
6.00771,7.927
7.00797,8.563
8.00232,8.98
9.00514,8.584
10.0067,8.27
11.0001,8.14
12.0063,8.281
13.0011,8.279
14.0033,8.92
15.0056,8.421
16.0075,8.201
17.0014,8.485
18.0025,7.824
19.0038,8.339
20.0024,7.939
21.0052,8.286
22.0053,8.745
23.0077,8.315
24.002,8.478
25.0034,8.427
26.0016,8.29
27.0025,9.148
28.0063,13.654
29.0006,9.277
30.0072,8.817
31.0066,9.766
32.0014,8.052
33.0048,8.796
34.008,9.11
35.0016,8.437
36.0035,8.344
37.0073,8.302
38.0008,8.193
39.0023,8.442
40.0053,9.142
41.0017,8.561
42.0078,8.49
43.0064,9.215
44.0017,8.251
45.0053,9.18
46.0005,8.212
47.0067,8.331
48.0018,8.746
49.0046,8.715
50.0029,8.598
51.0052,9.012
52.0002,8.485
53.0074,7.944
54.0012,9.331
55.0012,8.497
56.0032,7.91
57.0028,9.02
58.005,8.768
59.0014,8.571
60.0006,8.281
