Time (s),FrameTime (ms)
1.37086,214.649
2.00381,231.845
3.11098,205.605
4.13391,203.952
5.16379,264.561
6.04915,225.498
7.16216,203.876
8.18248,205.837
9.19986,201.56
10.0076,203.003
11.0123,203.551
12.0747,206.843
13.0873,204.044
14.102,202.844
15.1191,203.488
16.1396,201.731
17.1465,202.787
18.1567,203.014
19.1665,201.163
20.1759,202.295
21.1856,201.849
22.1936,201.208
23.0006,202.86
24.0139,201.93
25.0261,200.28
26.0346,201.509
27.0543,202.039
28.0644,203.789
29.0842,207.301
30.099,201.734
31.1172,201.123
32.1257,202.802
33.1387,201.759
34.1481,201.651
35.1562,201.031
36.1651,204.19
37.1946,202.274
38.0019,201.563
39.0113,202.835
40.0216,206.786
41.0371,201.033
42.0444,202.629
43.0538,200.931
44.0627,202.676
45.0747,201.299
46.0877,205.247
47.1015,203.141
48.1116,201.504
49.1238,202.431
50.1334,201.977
51.1488,200.556
52.1633,204.276
53.1834,200.664
54.1912,201.947
55.2013,202.655
56.0098,202.887
57.0308,201.621
58.0416,202.321
59.0525,200.358
60.0602,204.331
